+-------------------------------------------------------------------------------------------------------+
| Group: PCMEX                                                                                          |
+-------------------------------------------------------------------------------------------------------+
| Block    | Description             | Index | Byte offset      | Block Byte Length | Total Byte Length |
|          |                         |       | [ 4] 0x063c 1596 |                   |                   |
+-------------------------------------------------------------------------------------------------------+
| Group: PCMEX : Total Length Bytes: 0x0660 1632                                                        |
+-------------------------------------------------------------------------------------------------------+

+-------------------------------------------------------------------------------------------------+
| Group: PCMR                                                                                     |
+-------------------------------------------------------------------------------------------------+
| Block    | Description       | Index | Byte offset      | Block Byte Length | Total Byte Length |
+-------------------------------------------------------------------------------------------------+
| PCMR_CMN | PCMRhythm Common  |       |  0x0000 0000     | 28                | 28                |
| MFX      |                   |       |  0x001c 0028     | 84                | 84                |
| RCMP     | System RhythmComp |       | [ 1] 0x0070 0112 | 8                 | 48                |
|          |                   |       | [ 2] 0x0078 0120 |                   |                   |
|          |                   |       | [ 3] 0x0080 0128 |                   |                   |
|          |                   |       | [ 4] 0x0088 0136 |                   |                   |
|          |                   |       | [ 5] 0x0090 0144 |                   |                   |
|          |                   |       | [ 6] 0x0098 0152 |                   |                   |
| PCMR_PTL | PCMRhythm Partial |       | [ 1] 0x00a0 0160 | 20                | 1760              |
|          |                   |       | [ 2] 0x00b4 0180 |                   |                   |
|          |                   |       | [ 3] 0x00c8 0200 |                   |                   |
|          |                   |       | [ 4] 0x00dc 0220 |                   |                   |
|          |                   |       | [ 5] 0x00f0 0240 |                   |                   |
|          |                   |       | [ 6] 0x0104 0260 |                   |                   |
|          |                   |       | [ 7] 0x0118 0280 |                   |                   |
|          |                   |       | [ 8] 0x012c 0300 |                   |                   |
|          |                   |       | [ 9] 0x0140 0320 |                   |                   |
|          |                   |       | [10] 0x0154 0340 |                   |                   |
|          |                   |       | [11] 0x0168 0360 |                   |                   |
|          |                   |       | [12] 0x017c 0380 |                   |                   |
|          |                   |       | [13] 0x0190 0400 |                   |                   |
|          |                   |       | [14] 0x01a4 0420 |                   |                   |
|          |                   |       | [15] 0x01b8 0440 |                   |                   |
|          |                   |       | [16] 0x01cc 0460 |                   |                   |
|          |                   |       | [17] 0x01e0 0480 |                   |                   |
|          |                   |       | [18] 0x01f4 0500 |                   |                   |
|          |                   |       | [19] 0x0208 0520 |                   |                   |
|          |                   |       | [20] 0x021c 0540 |                   |                   |
|          |                   |       | [21] 0x0230 0560 |                   |                   |
|          |                   |       | [22] 0x0244 0580 |                   |                   |
|          |                   |       | [23] 0x0258 0600 |                   |                   |
|          |                   |       | [24] 0x026c 0620 |                   |                   |
|          |                   |       | [25] 0x0280 0640 |                   |                   |
|          |                   |       | [26] 0x0294 0660 |                   |                   |
|          |                   |       | [27] 0x02a8 0680 |                   |                   |
|          |                   |       | [28] 0x02bc 0700 |                   |                   |
|          |                   |       | [29] 0x02d0 0720 |                   |                   |
|          |                   |       | [30] 0x02e4 0740 |                   |                   |
|          |                   |       | [31] 0x02f8 0760 |                   |                   |
|          |                   |       | [32] 0x030c 0780 |                   |                   |
|          |                   |       | [33] 0x0320 0800 |                   |                   |
|          |                   |       | [34] 0x0334 0820 |                   |                   |
|          |                   |       | [35] 0x0348 0840 |                   |                   |
|          |                   |       | [36] 0x035c 0860 |                   |                   |
|          |                   |       | [37] 0x0370 0880 |                   |                   |
|          |                   |       | [38] 0x0384 0900 |                   |                   |
|          |                   |       | [39] 0x0398 0920 |                   |                   |
|          |                   |       | [40] 0x03ac 0940 |                   |                   |
|          |                   |       | [41] 0x03c0 0960 |                   |                   |
|          |                   |       | [42] 0x03d4 0980 |                   |                   |
|          |                   |       | [43] 0x03e8 1000 |                   |                   |
|          |                   |       | [44] 0x03fc 1020 |                   |                   |
|          |                   |       | [45] 0x0410 1040 |                   |                   |
|          |                   |       | [46] 0x0424 1060 |                   |                   |
|          |                   |       | [47] 0x0438 1080 |                   |                   |
|          |                   |       | [48] 0x044c 1100 |                   |                   |
|          |                   |       | [49] 0x0460 1120 |                   |                   |
|          |                   |       | [50] 0x0474 1140 |                   |                   |
|          |                   |       | [51] 0x0488 1160 |                   |                   |
|          |                   |       | [52] 0x049c 1180 |                   |                   |
|          |                   |       | [53] 0x04b0 1200 |                   |                   |
|          |                   |       | [54] 0x04c4 1220 |                   |                   |
|          |                   |       | [55] 0x04d8 1240 |                   |                   |
|          |                   |       | [56] 0x04ec 1260 |                   |                   |
|          |                   |       | [57] 0x0500 1280 |                   |                   |
|          |                   |       | [58] 0x0514 1300 |                   |                   |
|          |                   |       | [59] 0x0528 1320 |                   |                   |
|          |                   |       | [60] 0x053c 1340 |                   |                   |
|          |                   |       | [61] 0x0550 1360 |                   |                   |
|          |                   |       | [62] 0x0564 1380 |                   |                   |
|          |                   |       | [63] 0x0578 1400 |                   |                   |
|          |                   |       | [64] 0x058c 1420 |                   |                   |
|          |                   |       | [65] 0x05a0 1440 |                   |                   |
|          |                   |       | [66] 0x05b4 1460 |                   |                   |
|          |                   |       | [67] 0x05c8 1480 |                   |                   |
|          |                   |       | [68] 0x05dc 1500 |                   |                   |
|          |                   |       | [69] 0x05f0 1520 |                   |                   |
|          |                   |       | [70] 0x0604 1540 |                   |                   |
|          |                   |       | [71] 0x0618 1560 |                   |                   |
|          |                   |       | [72] 0x062c 1580 |                   |                   |
|          |                   |       | [73] 0x0640 1600 |                   |                   |
|          |                   |       | [74] 0x0654 1620 |                   |                   |
|          |                   |       | [75] 0x0668 1640 |                   |                   |
|          |                   |       | [76] 0x067c 1660 |                   |                   |
|          |                   |       | [77] 0x0690 1680 |                   |                   |
|          |                   |       | [78] 0x06a4 1700 |                   |                   |
|          |                   |       | [79] 0x06b8 1720 |                   |                   |
|          |                   |       | [80] 0x06cc 1740 |                   |                   |
|          |                   |       | [81] 0x06e0 1760 |                   |                   |
|          |                   |       | [82] 0x06f4 1780 |                   |                   |
|          |                   |       | [83] 0x0708 1800 |                   |                   |
|          |                   |       | [84] 0x071c 1820 |                   |                   |
|          |                   |       | [85] 0x0730 1840 |                   |                   |
|          |                   |       | [86] 0x0744 1860 |                   |                   |
|          |                   |       | [87] 0x0758 1880 |                   |                   |
|          |                   |       | [88] 0x076c 1900 |                   |                   |
| PTL_EQ   | Partial EQ        |       | [ 1] 0x0780 1920 | 16                | 1408              |
|          |                   |       | [ 2] 0x0790 1936 |                   |                   |
|          |                   |       | [ 3] 0x07a0 1952 |                   |                   |
|          |                   |       | [ 4] 0x07b0 1968 |                   |                   |
|          |                   |       | [ 5] 0x07c0 1984 |                   |                   |
|          |                   |       | [ 6] 0x07d0 2000 |                   |                   |
|          |                   |       | [ 7] 0x07e0 2016 |                   |                   |
|          |                   |       | [ 8] 0x07f0 2032 |                   |                   |
|          |                   |       | [ 9] 0x0800 2048 |                   |                   |
|          |                   |       | [10] 0x0810 2064 |                   |                   |
|          |                   |       | [11] 0x0820 2080 |                   |                   |
|          |                   |       | [12] 0x0830 2096 |                   |                   |
|          |                   |       | [13] 0x0840 2112 |                   |                   |
|          |                   |       | [14] 0x0850 2128 |                   |                   |
|          |                   |       | [15] 0x0860 2144 |                   |                   |
|          |                   |       | [16] 0x0870 2160 |                   |                   |
|          |                   |       | [17] 0x0880 2176 |                   |                   |
|          |                   |       | [18] 0x0890 2192 |                   |                   |
|          |                   |       | [19] 0x08a0 2208 |                   |                   |
|          |                   |       | [20] 0x08b0 2224 |                   |                   |
|          |                   |       | [21] 0x08c0 2240 |                   |                   |
|          |                   |       | [22] 0x08d0 2256 |                   |                   |
|          |                   |       | [23] 0x08e0 2272 |                   |                   |
|          |                   |       | [24] 0x08f0 2288 |                   |                   |
|          |                   |       | [25] 0x0900 2304 |                   |                   |
|          |                   |       | [26] 0x0910 2320 |                   |                   |
|          |                   |       | [27] 0x0920 2336 |                   |                   |
|          |                   |       | [28] 0x0930 2352 |                   |                   |
|          |                   |       | [29] 0x0940 2368 |                   |                   |
|          |                   |       | [30] 0x0950 2384 |                   |                   |
|          |                   |       | [31] 0x0960 2400 |                   |                   |
|          |                   |       | [32] 0x0970 2416 |                   |                   |
|          |                   |       | [33] 0x0980 2432 |                   |                   |
|          |                   |       | [34] 0x0990 2448 |                   |                   |
|          |                   |       | [35] 0x09a0 2464 |                   |                   |
|          |                   |       | [36] 0x09b0 2480 |                   |                   |
|          |                   |       | [37] 0x09c0 2496 |                   |                   |
|          |                   |       | [38] 0x09d0 2512 |                   |                   |
|          |                   |       | [39] 0x09e0 2528 |                   |                   |
|          |                   |       | [40] 0x09f0 2544 |                   |                   |
|          |                   |       | [41] 0x0a00 2560 |                   |                   |
|          |                   |       | [42] 0x0a10 2576 |                   |                   |
|          |                   |       | [43] 0x0a20 2592 |                   |                   |
|          |                   |       | [44] 0x0a30 2608 |                   |                   |
|          |                   |       | [45] 0x0a40 2624 |                   |                   |
|          |                   |       | [46] 0x0a50 2640 |                   |                   |
|          |                   |       | [47] 0x0a60 2656 |                   |                   |
|          |                   |       | [48] 0x0a70 2672 |                   |                   |
|          |                   |       | [49] 0x0a80 2688 |                   |                   |
|          |                   |       | [50] 0x0a90 2704 |                   |                   |
|          |                   |       | [51] 0x0aa0 2720 |                   |                   |
|          |                   |       | [52] 0x0ab0 2736 |                   |                   |
|          |                   |       | [53] 0x0ac0 2752 |                   |                   |
|          |                   |       | [54] 0x0ad0 2768 |                   |                   |
|          |                   |       | [55] 0x0ae0 2784 |                   |                   |
|          |                   |       | [56] 0x0af0 2800 |                   |                   |
|          |                   |       | [57] 0x0b00 2816 |                   |                   |
|          |                   |       | [58] 0x0b10 2832 |                   |                   |
|          |                   |       | [59] 0x0b20 2848 |                   |                   |
|          |                   |       | [60] 0x0b30 2864 |                   |                   |
|          |                   |       | [61] 0x0b40 2880 |                   |                   |
|          |                   |       | [62] 0x0b50 2896 |                   |                   |
|          |                   |       | [63] 0x0b60 2912 |                   |                   |
|          |                   |       | [64] 0x0b70 2928 |                   |                   |
|          |                   |       | [65] 0x0b80 2944 |                   |                   |
|          |                   |       | [66] 0x0b90 2960 |                   |                   |
|          |                   |       | [67] 0x0ba0 2976 |                   |                   |
|          |                   |       | [68] 0x0bb0 2992 |                   |                   |
|          |                   |       | [69] 0x0bc0 3008 |                   |                   |
|          |                   |       | [70] 0x0bd0 3024 |                   |                   |
|          |                   |       | [71] 0x0be0 3040 |                   |                   |
|          |                   |       | [72] 0x0bf0 3056 |                   |                   |
|          |                   |       | [73] 0x0c00 3072 |                   |                   |
|          |                   |       | [74] 0x0c10 3088 |                   |                   |
|          |                   |       | [75] 0x0c20 3104 |                   |                   |
|          |                   |       | [76] 0x0c30 3120 |                   |                   |
|          |                   |       | [77] 0x0c40 3136 |                   |                   |
|          |                   |       | [78] 0x0c50 3152 |                   |                   |
|          |                   |       | [79] 0x0c60 3168 |                   |                   |
|          |                   |       | [80] 0x0c70 3184 |                   |                   |
|          |                   |       | [81] 0x0c80 3200 |                   |                   |
|          |                   |       | [82] 0x0c90 3216 |                   |                   |
|          |                   |       | [83] 0x0ca0 3232 |                   |                   |
|          |                   |       | [84] 0x0cb0 3248 |                   |                   |
|          |                   |       | [85] 0x0cc0 3264 |                   |                   |
|          |                   |       | [86] 0x0cd0 3280 |                   |                   |
|          |                   |       | [87] 0x0ce0 3296 |                   |                   |
|          |                   |       | [88] 0x0cf0 3312 |                   |                   |
+-------------------------------------------------------------------------------------------------+
| Group: PCMR : Total Length Bytes: 0x0d00 3328                                                   |
+-------------------------------------------------------------------------------------------------+

+----------------------------------------------------------------------------------------------------------------+
| Group: MdlSynPrm0                                                                                              |
+----------------------------------------------------------------------------------------------------------------+
| Block   | Description                           | Index | Byte offset  | Block Byte Length | Total Byte Length |
+----------------------------------------------------------------------------------------------------------------+
| MDLSYN0 | Model Synth Parameter Interface type0 |       |  0x0000 0000 | 112               | 112               |
| MFX     |                                       |       |  0x0070 0112 | 84                | 84                |
| TONECOM | ToneCom                               |       |  0x00c4 0196 | 20                | 20                |
+----------------------------------------------------------------------------------------------------------------+
| Group: MdlSynPrm0 : Total Length Bytes: 0x00d8 216                                                             |
+----------------------------------------------------------------------------------------------------------------+

+--------------------------------------------------------------------------------------------------------------+
| Group: MdlJD800                                                                                              |
+--------------------------------------------------------------------------------------------------------------+
| Block       | Description                 | Index | Byte offset      | Block Byte Length | Total Byte Length |
+--------------------------------------------------------------------------------------------------------------+
| MDLJD800COM | JD-800 Model Common         |       |  0x0000 0000     | 44                | 44                |
| MDLJD800PTL | JD-800 Model Partial        |       | [ 1] 0x002c 0044 | 80                | 320               |
|             |                             |       | [ 2] 0x007c 0124 |                   |                   |
|             |                             |       | [ 3] 0x00cc 0204 |                   |                   |
|             |                             |       | [ 4] 0x011c 0284 |                   |                   |
| MFX         |                             |       |  0x016c 0364     | 84                | 84                |
| MDLJD800FxB | JD-800 Model Group B Effect |       |  0x01c0 0448     | 32                | 32                |
| TONECOM     | ToneCom                     |       |  0x01e0 0480     | 20                | 20                |
+--------------------------------------------------------------------------------------------------------------+
| Group: MdlJD800 : Total Length Bytes: 0x01f4 500                                                             |
+--------------------------------------------------------------------------------------------------------------+

+-----------------------------------------------------------------------------------------------+
| Group: VoDsgn                                                                                 |
+-----------------------------------------------------------------------------------------------+
| Block   | Description          | Index | Byte offset  | Block Byte Length | Total Byte Length |
+-----------------------------------------------------------------------------------------------+
| MDLVDN  | Vocal Designer Model |       |  0x0000 0000 | 32                | 32                |
| TONECOM | ToneCom              |       |  0x0020 0032 | 20                | 20                |
| MFX     |                      |       |  0x0034 0052 | 84                | 84                |
+-----------------------------------------------------------------------------------------------+
| Group: VoDsgn : Total Length Bytes: 0x0088 136                                                |
+-----------------------------------------------------------------------------------------------+

+-----------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: INST_CMN_WMT                                                                                                                                 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+
| ID            | Description           | Byte offset - len | Min | Max   | Init | Values                                                             |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+
| SW            | Wave Switch           | 0x0000 0000 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| WAV_GTYPE     | Wave Group Type       | 0x0001 0001 - 01  | 0   | 2     | 0    | INT, EXP, SAMP                                                     |
| WAV_GID       | Wave Group ID         | 0x0002 0002 - 02  | 0   | 16383 | 0    |                                                                    |
| WAV_NUM_L     | Wave Number L         | 0x0004 0004 - 02  | 0   | 16383 | 0    |                                                                    |
| WAV_NUM_R     | Wave Number R         | 0x0006 0006 - 02  | 0   | 16383 | 0    |                                                                    |
| WAV_GAIN      | Wave Gain             | 0x0008 0008 - 01  | 0   | 5     | 3    | -18, -12, -6, 0, +6, +12                                           |
| FXM_SW        | Wave FXM Switch       | 0x0009 0009 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| FXM_COLOR     | Wave FXM Color        | 0x000a 0010 - 01  | 1   | 4     | 1    |                                                                    |
| FXM_DEPTH     | Wave FXM Depth        | 0x000b 0011 - 01  | 0   | 16    | 0    |                                                                    |
| PIT_CRS       | Wave Coarse Tune      | 0x000c 0012 - 01  | -48 | 48    | 0    |                                                                    |
| PIT_FINE      | Wave Fine Tune        | 0x000d 0013 - 01  | -50 | 50    | 0    |                                                                    |
| PAN           | Wave Pan              | 0x000e 0014 - 01  | -64 | 63    | 0    |                                                                    |
| PAN_RND_SW    | Wave Random Pan Sw    | 0x000f 0015 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| PAN_ALT_SW    | Wave Alternate Pan Sw | 0x0010 0016 - 01  | 0   | 2     | 0    | OFF, ON, REVERSE                                                   |
| LEVEL         | Wave Level            | 0x0011 0017 - 01  | 0   | 127   | 127  |                                                                    |
| DELAY_MODE    | Delay Mode            | 0x0013 0019 - 01  | 0   | 3     | 0    | NORMAL, HOLD, KEYOFF-NORMAL, KEYOFF-DECAY                          |
| DLY_TIME_SYNC | DelayTime Sync        | 0x0014 0020 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| DLY_TIME_NOTE | DelayTime (note)      | 0x0015 0021 - 01  | 0   | 21    | 12   | 1/64T, 1/64, 1/32T, 1/32, 1/16T, 1/32., 1/16, 1/8T, 1/16., 1/8 ... |
| DLY_TIME      | DelayTime             | 0x0016 0022 - 02  | 0   | 1023  | 0    |                                                                    |
| VRANGE_LO     | VeloRange Lower       | 0x0018 0024 - 01  | 1   | 127   | 1    |                                                                    |
| VRANGE_UP     | VeloRange Upper       | 0x0019 0025 - 01  | 1   | 127   | 127  |                                                                    |
| VFADE_LO      | VeloFade Lower        | 0x001a 0026 - 01  | 0   | 127   | 0    |                                                                    |
| VFADE_UP      | VeloFade Upper        | 0x001b 0027 - 01  | 0   | 127   | 0    |                                                                    |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: INST_CMN_WMT : Total Length Bytes: 0x001c 28                                                                                                 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+

+-------------------------------------------------------------------------------------------------------------------------------+
| Block: INST_CMN                                                                                                               |
+-------------------------------------------------------------------------------------------------------------------------------+
| ID           | Description                 | Byte offset - len     | Min  | Max  | Init | Values                              |
+-------------------------------------------------------------------------------------------------------------------------------+
| NAME_1       | Name 1                      | 0x0000 0000 - 01      | 32   | 127  | 32   |                                     |
| CATEGORY     | Category                    | 0x0010 0016 - 01      | 0    | 21   | 0    |                                     |
| LEVEL        | Level                       | 0x0011 0017 - 01      | 0    | 127  | 127  |                                     |
| SRC_KEY      | Source Key                  | 0x0012 0018 - 01      | 0    | 127  | 60   |                                     |
| PIT_FINE     | Fine Tune                   | 0x0013 0019 - 01      | -50  | 50   | 0    |                                     |
| PIT_RND      | Random Pitch Depth          | 0x0014 0020 - 02      | 0    | 1200 | 0    |                                     |
| PAN_RND      | Random Pan Depth            | 0x0016 0022 - 01      | 0    | 63   | 0    |                                     |
| PAN_ALT      | Alternate Pan Depth         | 0x0017 0023 - 01      | -64  | 63   | 0    |                                     |
| ASGN_TYPE    | Assign Type                 | 0x0018 0024 - 01      | 0    | 1    | 0    | MULTI, SINGLE                       |
| ENV_MODE     | Envelope Mode               | 0x0019 0025 - 01      | 0    | 1    | 1    | NO-SUS, SUSTAIN                     |
| WMT_VEL_CTRL | WMT Velocity Control        | 0x001a 0026 - 01      | 0    | 2    | 1    | OFF, ON, RANDOM                     |
| WMT          | INST_CMN_WMT                | [ 1] 0x001c 0028 - 28 | -    | -    | -    |                                     |
|              |                             | [ 2] 0x0038 0056 - 28 | -    | -    | -    |                                     |
|              |                             | [ 3] 0x0054 0084 - 28 | -    | -    | -    |                                     |
|              |                             | [ 4] 0x0070 0112 - 28 | -    | -    | -    |                                     |
| FILTER_TYPE  | TVF Filter Type             | 0x008c 0140 - 01      | 0    | 6    | 1    | OFF, LPF, BPF, HPF, PKG, LPF2, LPF3 |
| CUTOFF       | TVF Cutoff Frequency        | 0x008e 0142 - 02      | 0    | 1023 | 1023 |                                     |
| CUTOFF_VCRV  | TVF Cutoff Velocity Curve   | 0x0090 0144 - 01      | 0    | 7    | 1    | FIXED, 1, 2, 3, 4, 5, 6, 7          |
| CUTOFF_VSENS | TVF Cutoff Velocity Sens    | 0x0091 0145 - 01      | -100 | 100  | 0    |                                     |
| RESO         | TVF Resonance               | 0x0092 0146 - 02      | 0    | 1023 | 0    |                                     |
| RESO_VSENS   | TVF Resonance Velocity Sens | 0x0094 0148 - 01      | -100 | 100  | 0    |                                     |
| LEVEL_VCRV   | TVA Level Velocity Curve    | 0x0095 0149 - 01      | 0    | 7    | 1    | FIXED, 1, 2, 3, 4, 5, 6, 7          |
| LEVEL_VSENS  | TVA Level Velocity Sens     | 0x0096 0150 - 01      | -100 | 100  | 0    |                                     |
| TEMPO_SYNC   | Wave Tempo Sync             | 0x0097 0151 - 01      | 0    | 1    | 0    | OFF, ON                             |
+-------------------------------------------------------------------------------------------------------------------------------+
| Block: INST_CMN : Total Length Bytes: 0x0098 152                                                                              |
+-------------------------------------------------------------------------------------------------------------------------------+

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLCORE                                                                                                                                                    |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID          | Description                | Byte offset - len | Min   | Max   | Init | Values                                                                      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| MODEL       | Model                      | 0x0000 0000 - 01  | 0     | 5     | 0    | ---, JP8, JX8P, JUNO106, SH101, JUNO60                                      |
| LFOWAVE     | LFO WAVE FORM              | 0x0001 0001 - 01  | 0     | 10    | 0    | SIN, TRI, SAW-UP, SAW-DW, SQR, RND, TRP, S&H, CHS, VSIN ...                 |
| LFORATE     | LFO RATE                   | 0x0002 0002 - 02  | 0     | 1023  | 0    |                                                                             |
| LFODLY      | LFO DELAY TIME             | 0x0004 0004 - 02  | 0     | 1023  | 0    |                                                                             |
| OSC1MOD     | OSC1 MOD                   | 0x0006 0006 - 01  | -100  | 100   | 0    |                                                                             |
| OSC1PENV    | OSC1 PITCH ENV DEPTH       | 0x0007 0007 - 01  | -100  | 100   | 0    |                                                                             |
| OSC1DEST    | OSC1 DEST SELECT           | 0x0008 0008 - 01  | 0     | 2     | 0    | OSC1, BOTH, OSC2                                                            |
| OSC1ENVS    | OSC1 ENVT SELECT           | 0x0009 0009 - 01  | 0     | 1     | 0    | 1, 2                                                                        |
| OSC1WAVE    | OSC1 WAVE FORM             | 0x000a 0010 - 02  | 0     | 27    | 0    | PW, SAW, SUB1OCT1, SUB2OCT1, SUB2OCT2, NOISE, PW, SAW, SUB1OCT1, NOISE ...  |
| OSC1FEET    | OSC1 FEET                  | 0x000c 0012 - 01  | 0     | 4     | 0    | 32', 16', 8', 4', 2'                                                        |
| OSC1COARSE  | OSC1 COARSE TUNE           | 0x000d 0013 - 01  | -48   | 48    | 0    |                                                                             |
| OSC1FINE    | OSC1 FINE TUNE             | 0x000e 0014 - 01  | -50   | 50    | 0    |                                                                             |
| OSC1LOWFREQ | OSC1 LOW FREQ PITCH        | 0x000f 0015 - 01  | 0     | 127   | 0    |                                                                             |
| OSC1MODE    | OSC1 MODE                  | 0x0010 0016 - 01  | 0     | 1     | 0    | NORMAL, LOW FREQ                                                            |
| OSC1PWM     | OSC1 PWM DEPTH             | 0x0011 0017 - 01  | -63   | 63    | 0    |                                                                             |
| OSC1PLSW    | OSC1 PULSE WIDTH           | 0x0012 0018 - 01  | 0     | 127   | 0    |                                                                             |
| OSC1PLSM    | OSC1 PULSE WIDTH MODE      | 0x0013 0019 - 01  | 0     | 2     | 0    | LFO, MANUAL, ENV                                                            |
| OSC2MOD     | OSC2 MOD                   | 0x0014 0020 - 01  | -100  | 100   | 0    |                                                                             |
| OSC2PENV    | OSC2 PITCH ENV DEPTH       | 0x0015 0021 - 01  | -100  | 100   | 0    |                                                                             |
| OSC2WAVE    | OSC2 WAVE FORM             | 0x0016 0022 - 02  | 0     | 27    | 0    | PW, SAW, SUB1OCT1, SUB2OCT1, SUB2OCT2, NOISE, PW, SAW, SUB1OCT1, NOISE ...  |
| OSC2FEET    | OSC2 FEET                  | 0x0018 0024 - 01  | 0     | 4     | 0    | 32', 16', 8', 4', 2'                                                        |
| OSC2COARSE  | OSC2 COARSE TUNE           | 0x0019 0025 - 01  | -48   | 48    | 0    |                                                                             |
| OSC2FINE    | OSC2 FINE TUNE             | 0x001a 0026 - 01  | -50   | 50    | 0    |                                                                             |
| OSC2LOWFREQ | OSC2 LOW FREQ PITCH        | 0x001b 0027 - 01  | 0     | 127   | 0    |                                                                             |
| OSC2MODE    | OSC2 MODE                  | 0x001c 0028 - 01  | 0     | 1     | 0    | NORMAL, LO FREQ                                                             |
| OSC2PW      | OSC2 PULSE WIDTH           | 0x001d 0029 - 01  | 0     | 127   | 0    |                                                                             |
| OSC3MOD     | OSC3 MOD                   | 0x001e 0030 - 01  | -100  | 100   | 0    |                                                                             |
| OSC3PENV    | OSC3 PITCH ENV DEPTH       | 0x001f 0031 - 01  | -100  | 100   | 0    |                                                                             |
| OSC3WAVE    | OSC3 WAVE FORM             | 0x0020 0032 - 02  | 0     | 27    | 0    | PW, SAW, SQR 1OCT, SQR 2OCT, SH SubOSC, NOISE, PW, SAW, SQR 1OCT, NOISE ... |
| OSC3FEET    | OSC3 FEET                  | 0x0022 0034 - 01  | 0     | 4     | 0    | 32', 16', 8', 4', 2'                                                        |
| OSC3COARSE  | OSC3 COARSE TUNE           | 0x0023 0035 - 01  | -48   | 48    | 0    |                                                                             |
| OSC3FINE    | OSC3 FINE TUNE             | 0x0024 0036 - 01  | -50   | 50    | 0    |                                                                             |
| OSC3LOWFREQ | OSC3 LOW FREQ PITCH        | 0x0025 0037 - 01  | 0     | 127   | 0    |                                                                             |
| OSC3MODE    | OSC3 MODE                  | 0x0026 0038 - 01  | 0     | 1     | 0    | NORMAL, LO FREQ                                                             |
| NOISE       | NOISE                      | 0x0027 0039 - 01  | 0     | 1     | 0    | WHITE, PINK                                                                 |
| MODDPTH     | MOD DEPTH                  | 0x0028 0040 - 02  | 0     | 10800 | 0    |                                                                             |
| MODMODE     | MOD MODE                   | 0x002a 0042 - 01  | 0     | 3     | 0    | OFF, SYNC, RING, X-MOD                                                      |
| MXROSC1     | OSC1 LEVEL                 | 0x002b 0043 - 01  | 0     | 255   | 0    |                                                                             |
